Altium Designer Pick and Place Locations
E:\PROJECTS\Jeff Geerling projekty\CM4_carrier_GPU\CM4GPU_Altium\v2_2023-04\\out\Pick Place\Pick Place for Pi4GPU_v2.csv

========================================================================================================================
File Design Information:

Date:       13.04.23
Time:       10:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Manufacturer","MPN","Package (Case)"
"C100","DNP","TopLayer","62.2500","78.0500","0","DNP","DNP","0603 (1608)"
"C200","100nF","TopLayer","91.8500","52.8500","180","TBD","TBD","0603 (1608)"
"C250","10uF","TopLayer","43.2500","55.8500","270","GENERIC","GENERIC","0603 (1608)"
"C251","100uF/6V3","TopLayer","18.4500","43.0000","270","GENERIC","GENERIC","1206 (3216)"
"C252","10uF","TopLayer","36.7000","55.1000","0","GENERIC","GENERIC","0603 (1608)"
"C253","10uF","TopLayer","36.7000","52.2000","0","GENERIC","GENERIC","0603 (1608)"
"C254","10uF","TopLayer","39.9000","53.6000","180","GENERIC","GENERIC","0603 (1608)"
"C255","10uF","TopLayer","36.7000","53.6000","0","GENERIC","GENERIC","0603 (1608)"
"C256","4u7","TopLayer","26.8250","46.8000","0","GENERIC","GENERIC","0603 (1608)"
"C257","100nF","TopLayer","26.8250","45.4000","0","TBD","TBD","0603 (1608)"
"C258","100nF","TopLayer","38.0750","41.9000","180","TBD","TBD","0603 (1608)"
"C259","100nF","TopLayer","32.4500","38.2750","90","TBD","TBD","0603 (1608)"
"C260","100nF","TopLayer","26.8250","40.7000","0","TBD","TBD","0603 (1608)"
"C261","4u7","TopLayer","38.0750","46.8000","180","GENERIC","GENERIC","0603 (1608)"
"C262","100nF","TopLayer","32.4500","49.5250","270","TBD","TBD","0603 (1608)"
"C263","100nF","TopLayer","38.0750","45.4000","180","TBD","TBD","0603 (1608)"
"C264","DNP","TopLayer","26.8250","42.2000","0","DNP","DNP","0603 (1608)"
"C265","DNP","TopLayer","38.0750","43.9000","180","DNP","DNP","0603 (1608)"
"C266","18pF","TopLayer","20.7500","47.5500","270","TBD","TBD","0603 (1608)"
"C267","18pF","TopLayer","20.7500","41.7500","90","TBD","TBD","0603 (1608)"
"C268","DNP","TopLayer","30.5500","49.5250","270","DNP","DNP","0603 (1608)"
"C350","100nF","TopLayer","20.1500","67.1000","270","TBD","TBD","0603 (1608)"
"C351","100nF","TopLayer","13.0500","65.9000","270","TBD","TBD","0603 (1608)"
"C400","100nF","TopLayer","23.2500","86.4500","180","TBD","TBD","0603 (1608)"
"C450","10uF","TopLayer","35.7500","77.9000","270","GENERIC","GENERIC","0603 (1608)"
"C451","10uF","TopLayer","38.1500","81.1000","180","GENERIC","GENERIC","0603 (1608)"
"C500","100nF","TopLayer","127.4000","39.3500","90","TBD","TBD","0603 (1608)"
"C700","100nF/50V","TopLayer","28.4500","22.5000","0","TBD","TBD","0603 (1608)"
"C701","220uF/25V","TopLayer","34.3500","22.5500","180","Panasonic","EEEFTE221XAP","SMD SIZE D8"
"C702","100nF/50V","TopLayer","134.6000","20.4500","180","TBD","TBD","0603 (1608)"
"C703","10uF/35V","TopLayer","131.2000","27.6500","270","GENERIC","GENERIC","1206 (3216)"
"C704","220uF/25V","TopLayer","136.3000","29.6500","180","Panasonic","EEEFTE221XAP","SMD SIZE D8"
"C705","220uF/25V","TopLayer","52.8500","17.7500","90","Panasonic","EEEFTE221XAP","SMD SIZE D8"
"C750","100nF","TopLayer","88.6500","22.9000","270","TBD","TBD","0603 (1608)"
"C751","10uF/35V","TopLayer","93.8500","27.1000","270","GENERIC","GENERIC","1206 (3216)"
"C752","10uF/35V","TopLayer","89.0500","27.1000","270","GENERIC","GENERIC","1206 (3216)"
"C753","10uF/35V","TopLayer","93.8500","22.1000","90","GENERIC","GENERIC","1206 (3216)"
"C754","DNP","TopLayer","79.1500","30.7000","180","GENERIC","GENERIC","0603 (1608)"
"C755","10uF/10V","TopLayer","85.8500","19.9000","270","GENERIC","GENERIC","0603 (1608)"
"C756","10uF/10V","TopLayer","83.0500","19.9000","270","GENERIC","GENERIC","0603 (1608)"
"C757","10uF/10V","TopLayer","84.4500","19.9000","270","GENERIC","GENERIC","0603 (1608)"
"C758","10uF/10V","TopLayer","87.2500","19.9000","270","GENERIC","GENERIC","0603 (1608)"
"C759","100uF/10V","TopLayer","81.2500","19.4000","270","GENERIC","GENERIC","1206 (3216)"
"C760","100nF","TopLayer","85.9500","29.3000","0","TBD","TBD","0603 (1608)"
"C761","10uF/35V","TopLayer","91.4500","27.1000","270","GENERIC","GENERIC","1206 (3216)"
"C762","10uF/35V","TopLayer","91.4500","22.1000","90","GENERIC","GENERIC","1206 (3216)"
"C763","10uF/35V","TopLayer","96.2500","27.1000","270","GENERIC","GENERIC","1206 (3216)"
"C764","DNP","TopLayer","79.3500","25.7000","90","GENERIC","GENERIC","0603 (1608)"
"C765","1.2nF","TopLayer","77.8500","25.7000","90","GENERIC","GENERIC","0603 (1608)"
"C766","100nF","TopLayer","119.1500","22.9000","270","TBD","TBD","0603 (1608)"
"C767","10uF/35V","TopLayer","121.9500","22.1000","90","GENERIC","GENERIC","1206 (3216)"
"C768","10uF/35V","TopLayer","124.3500","27.1000","270","GENERIC","GENERIC","1206 (3216)"
"C769","10uF/35V","TopLayer","124.3500","22.1000","90","GENERIC","GENERIC","1206 (3216)"
"C770","DNP","TopLayer","109.6500","30.7000","180","GENERIC","GENERIC","0603 (1608)"
"C771","10uF/10V","TopLayer","117.7500","19.9000","270","GENERIC","GENERIC","0603 (1608)"
"C772","10uF/10V","TopLayer","116.3500","19.9000","270","GENERIC","GENERIC","0603 (1608)"
"C773","10uF/10V","TopLayer","113.5500","19.9000","270","GENERIC","GENERIC","0603 (1608)"
"C774","10uF/10V","TopLayer","114.9500","19.9000","270","GENERIC","GENERIC","0603 (1608)"
"C775","100uF/10V","TopLayer","111.7500","19.4000","270","GENERIC","GENERIC","1206 (3216)"
"C776","100nF","TopLayer","116.4500","29.3000","0","TBD","TBD","0603 (1608)"
"C777","10uF/35V","TopLayer","126.7500","27.1000","270","GENERIC","GENERIC","1206 (3216)"
"C778","10uF/35V","TopLayer","121.9500","27.1000","270","GENERIC","GENERIC","1206 (3216)"
"C779","10uF/35V","TopLayer","119.5500","27.1000","270","GENERIC","GENERIC","1206 (3216)"
"C780","DNP","TopLayer","109.8500","25.7000","90","GENERIC","GENERIC","0603 (1608)"
"C781","1.2nF","TopLayer","108.3500","25.7000","90","GENERIC","GENERIC","0603 (1608)"
"C800","DNP","TopLayer","100.7000","26.6000","270","GENERIC","DNP","0603 (1608)"
"C801","DNP","TopLayer","34.3000","29.2500","90","GENERIC","DNP","0603 (1608)"
"C802","100nF","TopLayer","105.5500","30.3000","270","TBD","TBD","0603 (1608)"
"C803","100nF","TopLayer","34.3000","33.0500","270","TBD","TBD","0603 (1608)"
"C804","DNP","TopLayer","70.2500","21.2000","180","GENERIC","DNP","0603 (1608)"
"C805","DNP","TopLayer","42.5500","25.1000","0","GENERIC","DNP","0603 (1608)"
"C806","100nF","TopLayer","65.5500","23.4500","90","TBD","TBD","0603 (1608)"
"C807","100nF","TopLayer","45.5500","25.1000","180","TBD","TBD","0603 (1608)"
"C808","DNP","TopLayer","42.9000","52.7000","90","GENERIC","DNP","0603 (1608)"
"C809","100nF","TopLayer","44.2000","46.0500","90","TBD","TBD","0603 (1608)"
"D700","12V","TopLayer","28.6500","25.1000","0","ON Semi","MMBZ5242BLT3G",""
"D701","SMAJ12A","TopLayer","21.6000","25.3500","0","Littelfuse","SMAJ12A",""
"D702","12V","TopLayer","134.2500","23.2000","180","ON Semi","MMBZ5242BLT3G",""
"D703","SMAJ12A","TopLayer","143.9000","20.7000","90","Littelfuse","SMAJ12A",""
"F250","120 Ohm","TopLayer","26.8250","48.2000","0","TBD","TBD","0603 (1608)"
"FID900","Fiducial","TopLayer","148.9000","96.8500","0","","",""
"FID901","Fiducial","TopLayer","11.9500","12.9500","0","","",""
"FID902","Fiducial","TopLayer","13.4500","96.7500","0","","",""
"FID903","Fiducial","BottomLayer","148.9000","96.8500","180","","",""
"FID904","Fiducial","BottomLayer","13.4500","96.7500","90","","",""
"FID905","Fiducial","BottomLayer","11.9500","12.9500","90","","",""
"FUS700","10A/125VDC","TopLayer","15.1500","22.8500","90","Bel Fuse","0679L9100-01",""
"FUS701","10A/125VDC","TopLayer","148.0000","21.0000","270","Bel Fuse","0679L9100-01",""
"FUS702","10A/125VDC","TopLayer","44.0500","17.0500","0","Bel Fuse","0679L9100-01",""
"J100","40pin (2x20pin)","TopLayer","81.0500","87.4000","0","GENERIC","GENERIC",""
"J101","Mezzanine, 100pin, 3.0mm","TopLayer","78.5500","79.8600","0","Hirose","DF40HC(3.0)-100DS-0.4V","SMD"
"J102","Mezzanine, 100pin, 3.0mm","TopLayer","78.5500","45.9400","0","Hirose","DF40HC(3.0)-100DS-0.4V","SMD"
"J200","U262-161N-4BVC11","TopLayer","156.8875","82.0001","90","XKB Connectivity","U262-161N-4BVC11","SMD"
"J250","USB Type A (Dual)","TopLayer","12.1200","38.0000","270","TBD","TBD","THT"
"J300","Card Edge (PCIE X4)","TopLayer","62.1500","3.7500","0","N/A","N/A",""
"J350","Standdard HDMI (Type A)","TopLayer","6.1000","60.0500","270","BOOMELE","HDMI-001","SMD"
"J400","HY911130A","TopLayer","11.8950","80.7500","270","HanRun","HY911130A",""
"J450","MicroSD Card (Slot)","TopLayer","36.3500","88.7500","180","TF-015","TF-015","SMD"
"J500","CON HDR 1x2","TopLayer","118.4200","88.1500","180","GENERIC","GENERIC","THT"
"J501","MLX 470531000","TopLayer","120.6800","43.6000","270","Molex","470531000","THT"
"J502","HDR 1x3","TopLayer","119.2000","33.7500","180","GENERIC","GENERIC","THT"
"J700","8A, 2.0mm","TopLayer","6.4500","20.3500","0","CUI Devices","PJ-063AH","THT"
"J701","Molex 2x3P 4.2mm","TopLayer","148.8825","33.0000","90","Molex","039-30-1060","THT"
"L750","3.3uH","TopLayer","76.4500","19.7750","270","Changjiang Microelectronics Tech","FXL0624-3R3-M","SMD"
"L751","3.3uH","TopLayer","106.9500","19.7750","270","Changjiang Microelectronics Tech","FXL0624-3R3-M","SMD"
"LED100","Green","TopLayer","151.3500","69.1000","180","Foshan NationStar Optoelectronics","NCD0805G1","0805 (2012)"
"LED101","Red","TopLayer","151.3500","71.3000","180","Foshan NationStar Optoelectronics","NCD0805R1","0805 (2012)"
"LED500","Green","TopLayer","151.3500","66.9000","180","Foshan NationStar Optoelectronics","NCD0805G1","0805 (2012)"
"LED501","Red","TopLayer","151.3500","64.7000","180","Foshan NationStar Optoelectronics","NCD0805R1","0805 (2012)"
"LED700","Green","TopLayer","151.3500","54.1000","180","Foshan NationStar Optoelectronics","NCD0805G1","0805 (2012)"
"LED701","Green","TopLayer","151.3500","51.9000","180","Foshan NationStar Optoelectronics","NCD0805G1","0805 (2012)"
"LED750","Green","TopLayer","151.3500","47.5000","180","Foshan NationStar Optoelectronics","NCD0805G1","0805 (2012)"
"LED751","Green","TopLayer","151.3500","49.7000","180","Foshan NationStar Optoelectronics","NCD0805G1","0805 (2012)"
"MECH900","M2.5, L = 3.0mm","TopLayer","57.0500","46.4000","180","Wurth Elektronik","977 403 015 1","SMD"
"MECH901","M2.5, L = 3.0mm","TopLayer","105.0500","46.4000","180","Wurth Elektronik","977 403 015 1","SMD"
"MECH902","M2.5, L = 3.0mm","TopLayer","105.0500","79.4000","180","Wurth Elektronik","977 403 015 1","SMD"
"MECH903","M2.5, L = 3.0mm","TopLayer","57.0500","79.4000","180","Wurth Elektronik","977 403 015 1","SMD"
"MH900","H270_C600","TopLayer","52.0500","87.4000","90","","",""
"MH901","H270_C600","TopLayer","110.0500","87.4000","90","","",""
"MH902","H270_C600","TopLayer","52.0500","38.4000","90","","",""
"MH903","H270_C600","TopLayer","110.0500","38.4000","90","","",""
"MH904","H320_C700","TopLayer","7.5000","94.7500","0","","",""
"MH905","H320_C700","TopLayer","7.5000","9.3500","0","","",""
"MH906","H320_C700","TopLayer","155.2000","94.7500","0","","",""
"MH907","H320_C700","TopLayer","155.2000","17.6000","0","","",""
"MOD100","RPi CM4 Module","TopLayer","78.5500","62.9000","90","Raspberry Pi Foundation","CM4 Module",""
"MOD101","CM4 Module (3D Model)","TopLayer","-114.0000","-135.0000","90","-","-","-"
"PCB900","PCB_LAYER_STACKUP","TopLayer","-114.0000","-135.0000","0","","",""
"Q100","DTA143ZE","TopLayer","144.4500","69.1000","270","On Semiconductor","DTA143ZET1G",""
"Q101","DTA143ZE","TopLayer","144.4500","71.3000","270","On Semiconductor","DTA143ZET1G",""
"Q200","DTC143ZE","TopLayer","104.1000","65.2500","180","","DTC143ZE",""
"Q500","DTC143ZE","TopLayer","99.0500","81.1500","270","","DTC143ZE",""
"Q700","PMOS","TopLayer","22.0000","20.6000","90","Vishay","SI7149ADP-T1-GE3","PowerPAK-SO-8"
